cod_colegio;meac;nivel;estado;tipo_terreno
44;21;Secundaria;;
44;22;Secundaria;;
44;23;Secundaria;;
44;24;Secundaria;;
45;1;Inicial;;
46;1;Inicial;;
46;2;Inicial;;
46;3;Inicial;;
47;1;Inicial;;
47;2;Inicial;;
47;3;Inicial;;
48;1;Inicial;;
48;2;Inicial;;
48;3;Primaria;;
48;4;Primaria;;
49;1;Primaria;;
49;2;Primaria;;
49;3;Secundaria;;
49;4;Secundaria;;
50;1;Primaria;;
50;2;Primaria;;
50;3;Secundaria;;
50;4;Secundaria;;
51;1;Inicial;;
51;2;Inicial;;
51;3;Inicial;;
52;1;Primaria;;
52;2;Primaria;;
53;1;Secundaria;;
53;2;Secundaria;;
53;3;Secundaria;;
53;4;Secundaria;;
53;5;Secundaria;;
53;6;Secundaria;;
53;7;Secundaria;;
53;8;Secundaria;;
54;1;Inicial;;
55;1;Secundaria;;Losa - Terreno N.
55;2;Secundaria;;Losa
55;3;Secundaria;;Losa
55;4;Secundaria;;Losa
55;5;Secundaria;;Losa
56;1;Inicial;;
56;2;Inicial;;
56;3;Inicial;;
56;4;Inicial;;
57;1;Secundaria;;
57;2;Secundaria;;
57;3;Secundaria;;
57;4;Secundaria;;
57;5;Secundaria;;
58;1;Inicial;;Losa
58;2;Inicial;;Losa
59;1;Primaria;;
59;2;Primaria;;
59;3;Primaria;;
59;4;Secundaria;;
59;5;Secundaria;;
59;6;Secundaria;;
60;1;Inicial;;
